sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
-0.907002198,-0.589192868,-0.095905847,0.072332733,33.02085388,11.8193,9.8891
-0.852319606,-0.945683892,0.07978389,-0.038226713,33.00716829,11.7628,9.8402
-0.827059062,-1.189991755,-0.057742805,0.010676446,32.99041491,11.7265,9.8107
-0.965054268,-1.066447182,-0.24878334,0.010099329,32.97655967,11.7201,9.8064
-0.930419233,-0.735733766,0.252266046,-0.029406521,32.96955773,11.7327,9.8181
-0.82246583,-0.597595027,0.348391145,0.035933783,32.97178314,11.7457,9.831
-1.039801187,-0.876082898,-0.501991466,-0.048651609,32.98346888,11.7403,9.8297
-0.836868686,-1.476156126,-0.425885423,0.067199583,32.98409298,11.7039,9.8035
-0.78384127,-1.707689752,0.75221317,-0.063427505,32.9802237,11.6395,9.753
-1.244386109,-1.193579516,0.365764614,0.023785387,32.98366675,11.5482,9.6765
-0.535940544,-0.518012289,-0.764992087,0.043006213,32.98173464,11.4239,9.5659
-1.003249806,-0.326771489,-0.167565412,-0.115916602,32.97269993,11.265,9.4184
-1.27186446,-0.640157912,0.31472495,0.193120075,32.95904533,11.0988,9.2612
-0.248878015,-0.890078631,0.151554138,-0.261955568,32.94333984,10.9576,9.127
-1.575378681,-0.689725397,0.564384121,0.314136363,32.92261757,10.8668,9.0425
-0.811828865,-0.390673484,-0.502521253,-0.329404049,32.89697177,10.845,9.0266
-0.457382818,-0.859740988,-1.489294345,0.302225057,32.87587366,10.8936,9.0748
-1.995911945,-2.701738798,1.215455048,-0.240975237,32.85955076,11.0065,9.1728
-0.029538495,-5.293065455,2.031475642,0.142172338,32.84436085,11.1691,9.2981
-1.271444661,-6.889543344,-2.011385587,0.004078953,32.82255977,11.3658,9.4299
-1.631419984,-5.60135506,-1.832208165,-0.188626197,32.83587058,11.5925,9.5681
0.301769078,-1.846146015,2.120046857,0.305088254,32.8854713,11.8469,9.7179
-1.821700283,1.883376651,0.977161878,-0.341755877,32.91362692,12.1217,9.8794
-0.530769174,4.21081276,-1.332328771,0.340163039,32.93247476,12.4018,10.0451
-0.23484791,5.144549278,-0.274726099,-0.306569403,32.9437698,12.6644,10.1977
-1.668985003,5.474261997,0.252343488,0.26743705,32.9430046,12.8871,10.3197
0.097364914,5.822172668,0.150479522,-0.221859405,32.94289902,13.0482,10.3944
-0.995213177,5.862175303,0.579361688,0.165854219,32.94584282,13.1315,10.4099
-0.903590808,5.026473439,-0.396099014,-0.108218819,32.94773179,13.1418,10.3736
-0.038151604,3.522092746,-0.915927788,0.056872092,32.94308486,13.089,10.2974
-1.211445804,2.349214811,0.659223444,-0.000853491,32.92632625,12.9833,10.1935
-0.282574139,2.346576772,0.898446711,-0.038692107,32.90243091,12.8403,10.0769
-0.631045391,3.233013998,-0.605214851,0.060241545,32.88724175,12.6957,9.9733
-0.851660917,3.665394508,-0.812614854,-0.093360238,32.88087906,12.59,9.9111
-0.143276763,2.714575115,0.272045477,0.149478492,32.86288621,12.563,9.9182
-0.966866612,1.334555038,0.877711305,-0.21774371,32.85503794,12.6371,10.0085
-0.355460985,0.74485168,-0.07905833,0.272647725,32.84680122,12.7665,10.1394
-0.332278612,1.283461815,-0.856095409,-0.302545359,32.84139598,12.8882,10.2542
-0.965688124,1.807412352,-0.025493672,0.294833524,32.82634913,12.9389,10.2961
0.10222439,1.196033441,0.668270391,-0.218062474,32.79384302,12.8744,10.2266
-0.870817918,-0.052460246,0.193337577,0.099419093,32.75700583,12.726,10.0788
-0.600931482,-0.291651547,-0.19117666,0.033884684,32.7415033,12.5432,9.9032
0.13170125,0.993473585,-0.537411191,-0.205145937,32.73148743,12.3748,9.7496
-1.134820359,2.570794213,-0.4698023,0.4086507,32.71668719,12.2576,9.6551
-0.003750496,2.324227774,0.869059731,-0.622880363,32.69488256,12.184,9.6112
-0.268679169,-0.915291822,1.141906049,0.842206612,32.64845014,12.1359,9.5982
-1.033987593,-5.628586358,-0.884840422,-0.986330721,32.57768946,12.0952,9.5969
0.173709637,-8.410947841,-1.545944306,1.03977277,32.52775242,12.0472,9.5902
-0.857657914,-7.477019488,0.603039112,-1.039208066,32.50642286,11.9867,9.5693
-0.408463908,-3.978815933,1.680768872,0.937738448,32.50744369,11.911,9.5272
0.058123349,-0.840648001,-0.450601451,-0.744957185,32.50620922,11.818,9.4573
-0.819522923,0.135302183,-1.575492248,0.479604018,32.5119671,11.7133,9.3625
0.120682492,-0.912968413,0.306888436,-0.172195502,32.51819394,11.6168,9.2686
-0.128160671,-2.403827488,1.241381668,-0.148044502,32.52096538,11.5431,9.1982
-0.453897307,-2.903707371,-0.157744526,0.466192355,32.5173134,11.4977,9.1658
0.37887414,-2.0892317,-0.604868402,-0.751263093,32.51992879,11.4873,9.183
-0.237130971,-0.768001764,-0.106338036,0.957655192,32.53719329,11.5275,9.255
0.079213414,-0.019583967,-0.277725672,-1.089409793,32.55188241,11.6317,9.3806
0.530972572,-0.034643361,0.573987865,1.168727566,32.54639378,11.8002,9.5463
-0.225730167,-0.052444419,1.086988215,-1.179841473,32.54461116,12.0134,9.7252
0.514958317,-0.126070934,-1.210703752,1.114780976,32.52556749,12.2211,9.8802
0.580019045,-0.570296157,-1.140523047,-0.936561876,32.49821869,12.3722,9.9782
-0.323105965,-1.458786987,1.558204106,0.646678082,32.48163408,12.4219,9.9915
1.112858995,-2.349457113,0.506029649,-0.289140458,32.48148909,12.3484,9.9108
0.345163373,-2.481096881,-1.234377357,-0.127620147,32.48568546,12.1995,9.7784
