sub1,sub2,sub3,sub4
67.40916606,240.3415485,-252.9924634,4505.601749
71.64992438,213.0418413,-256.1402055,4541.03844
35.66385064,179.569826,-258.9702247,4576.036548
-2.894823655,141.9382494,-261.4117537,4610.598328
-50.47724735,102.1269509,-263.3859185,4644.726215
-93.61073425,61.9849363,-264.806985,4678.422783
-102.798921,23.15201045,-265.5837912,4711.690702
-112.2744798,-12.99687164,-265.6213434,4744.532695
-59.36567933,-45.38326445,-264.8225535,4776.951497
19.47378112,-73.23350512,-263.0900911,4808.949815
112.6639559,-96.06591865,-260.3283222,4840.530285
167.920573,-113.6607051,-256.445302,4871.695434
167.3144577,-126.0173084,-251.3547922,4902.447643
103.7838199,-133.3046593,-244.9782676,4932.789107
74.55487691,-135.8098,-237.2468785,4962.721802
-13.19408609,-133.8900252,-228.1033359,4992.247447
-74.32090912,-127.9328824,-217.5036848,5021.367476
-147.5368465,-118.3272214,-205.4189347,5050.083003
-155.1911818,-105.4470944,-191.8365145,5078.394791
-190.1429018,-89.64880164,-176.7615252,5106.303229
-129.720644,-71.27989615,-160.2177627,5133.808303
79.58654413,-50.69763055,-142.2484867,5160.909573
169.7140466,-28.29328015,-122.9169184,5187.606152
140.9278555,-4.518092672,-102.306447,5213.896684
-105.3824252,20.09363092,-80.52053684,5239.779331
-160.5480383,44.90860779,-57.6823235,5265.251754
9.40337192,69.18942396,-33.93389857,5290.311103
38.9685303,92.10274717,-9.435282574,5314.954005
87.2943898,112.7421435,15.63690704,5339.17656
124.3593662,130.1652215,41.09108241,5362.97433
116.0717968,143.4432703,66.72259063,5386.342342
84.55892728,151.7201086,92.31587801,5409.275086
44.19093822,154.2756573,117.6468889,5431.766516
-29.62463428,150.5889082,142.4856709,5453.810055
-32.45234487,140.3945839,166.5991536,5475.398607
-34.29654011,123.727911,189.7540667,5496.524562
-101.0223481,100.9525787,211.7199577,5517.179812
-105.3661172,72.76808498,232.2722702,5537.355762
-96.63299053,40.19419811,251.1954383,5557.043354
-60.68110607,4.53206879,268.285955,5576.233082
-44.20384656,-32.69654022,283.35537,5594.915017
21.92654594,-69.82854606,296.2331713,5613.078829
66.22898656,-105.1523123,306.7695081,5630.713818
53.98086877,-137.0075202,314.8377122,5647.808939
41.11553167,-163.8849469,320.3365767,5664.352839
-70.56753514,-184.5187012,323.1923547,5680.333882
-4.50678576,-197.9638485,323.3604425,5695.740192
48.2869323,-203.6533344,320.8267158,5710.559686
64.00103806,-201.4296457,315.6084925,5724.780115
60.41439423,-191.5485943,307.7550986,5738.389101
49.56261594,-174.6548197,297.3480202,5751.374184
