sub1,sub2,sub3,sub4,sub5
297.0966568,-270.5084754,-21.89467128,16.29503412,3457.341456
197.6412064,-326.7748564,9.620714206,21.86480742,3459.908128
76.36239567,-391.4589075,41.10678186,27.41313122,3462.476599
90.22924065,-450.2240694,72.56838151,32.9396286,3465.046819
122.4136706,-490.2643779,104.0080456,38.44392266,3467.618739
95.22129016,-506.4969654,135.4277273,43.92563648,3470.192311
43.11886041,-501.8101203,166.8293795,49.38439314,3472.767487
-15.91480843,-480.9041805,198.2149556,54.81981575,3475.344218
12.74487138,-448.3352611,229.5864085,60.23152738,3477.922454
76.98241262,-408.7894025,260.9456914,65.61915112,3480.502147
123.9656997,-367.2960165,292.2947573,70.98231007,3483.083249
23.70472172,-327.3866198,323.6355593,76.32062731,3485.665711
-108.1575768,-286.2856846,354.9700507,81.63372593,3488.249485
-97.27501254,-239.6409213,386.3001844,86.92122902,3490.83452
-93.36144179,-182.9800015,417.6279136,92.18275966,3493.42077
-112.6226509,-112.7986662,448.9551913,97.41794095,3496.008185
-136.3015569,-31.26552605,480.2839707,102.626396,3498.596716
-98.59284938,58.00258123,511.6162049,107.8077478,3501.186315
-42.55121807,151.3888178,542.953847,112.9616196,3503.776934
-49.49934559,243.7843387,574.2988501,118.0876343,3506.368522
-160.9280026,323.7188821,605.6526722,123.1854152,3508.961033
-203.9004174,376.6566236,637.0147919,128.2545852,3511.554417
-227.6559349,387.6683502,668.3841924,133.2947674,3514.148625
-200.9869795,348.1779285,699.7598571,138.3055851,3516.743609
-108.0730317,274.6662815,731.1407694,143.2866611,3519.33932
-51.66478403,188.5555435,762.5259127,148.2376187,3521.935709
-48.03187927,108.7267998,793.9142703,153.1580809,3524.532728
-65.62652186,43.37369692,825.3048257,158.0476709,3527.130328
-107.5823215,-8.758713211,856.6965622,162.9060116,3529.728461
-155.4263707,-50.73189579,888.0884632,167.7327262,3532.327077
-174.8657621,-85.60324838,919.4754445,172.5274377,3534.926128
-195.3022963,-116.7091903,950.8361514,177.2897693,3537.525566
-148.9875646,-147.9222823,982.1451616,182.0193441,3540.125341
-69.87170615,-180.8465372,1013.377053,186.7157851,3542.725405
32.03417991,-216.4450083,1044.506403,191.3787154,3545.32571
105.7489946,-255.6807487,1075.50779,196.0077582,3547.926206
133.3701975,-298.4653701,1106.355791,200.6025364,3550.526845
103.7602982,-340.7855341,1137.024985,205.1626732,3553.127578
110.013626,-378.6997225,1167.489948,209.6877917,3555.728357
55.37532567,-408.5472318,1197.725258,214.177515,3558.329133
21.0032761,-426.6600934,1227.705494,218.6314661,3560.929857
-35.5752669,-429.6097151,1257.405233,223.0492682,3563.53048
-39.3799518,-415.0606007,1286.799053,227.4305443,3566.130955
-85.54856125,-381.0691195,1315.861532,231.7749175,3568.731232
-50.9487537,-328.4417653,1344.567246,236.0820109,3571.331262
129.0007107,-268.6239302,1372.890775,240.3514476,3573.930997
199.9065433,-215.7164777,1400.806696,244.5828507,3576.530388
171.5139579,-179.7087735,1428.289586,248.7758433,3579.129386
-61.85330194,-154.1487137,1455.314023,252.9300484,3581.727944
-102.8865317,-128.4091547,1481.854586,257.0450892,3584.326011
73.14102776,-94.10100781,1507.885851,261.1205887,3586.92354
101.5235093,-52.99255819,1533.382397,265.15617,3589.520482
144.6709255,-9.407970459,1558.318801,269.1514563,3592.116788
175.7733772,32.32850237,1582.669641,273.1060706,3594.712409
163.1655434,68.67802921,1606.409494,277.0196359,3597.307297
128.3177592,99.24612259,1629.512939,280.8917754,3599.901403
84.27470366,124.4339515,1651.954554,284.7221122,3602.494679
5.293278641,144.6604619,1673.708915,288.5102694,3605.087075
-5.108286162,160.3632718,1694.750601,292.25587,3607.678543
-17.56286919,171.9911076,1715.05419,295.9585371,3610.269034
-98.19615985,179.9555066,1734.594259,299.6178938,3612.858501
-119.4705673,184.4747256,1753.345386,303.2335633,3615.446893
-129.8109707,185.489492,1771.282148,306.8051685,3618.034162
-113.5007452,182.5390283,1788.379124,310.3323327,3620.62026
