sub1,sub2,sub3,sub4,sub5
542.6553576,20.05486438,-92.95660383,1064.772626,4416.483756
555.5428607,-13.58916547,-60.02678269,1051.037399,4424.765688
558.7929269,-49.37045086,-26.70885688,1037.107411,4432.91897
538.4646373,-61.25123713,5.640289792,1023.003776,4440.942534
529.2801802,-57.64324758,35.8602218,1008.747499,4448.835347
516.9224384,-59.37405931,63.04576333,994.3594544,4456.596403
519.4758842,-60.70230973,86.58133376,979.8603606,4464.224731
501.9023047,-43.81130584,106.1488546,965.2707563,4471.71939
480.8154238,-17.68557335,121.7096996,950.6109787,4479.079471
467.9385002,-7.357276007,133.4635387,935.9011395,4486.304098
469.3761003,-10.49865687,141.7890293,921.1611033,4493.392424
458.0944235,-0.301465344,147.1729387,906.410465,4500.343638
427.6069202,27.76231853,150.1352734,891.6685284,4507.15696
417.1579347,48.757904,151.1582369,876.9542844,4513.83164
435.4340776,56.36625119,150.6263164,862.2863906,4520.366964
425.9430216,79.08803976,148.7835392,847.6831505,4526.762249
374.7747806,124.6838146,145.7120671,833.1624936,4533.016844
387.8412133,141.622711,141.3339879,818.7419556,4539.130132
474.3655175,76.40864958,135.4356447,804.43866,4545.101528
326.7983277,-44.20948293,127.7113761,790.269299,4550.93048
417.7915298,-130.5794866,117.821372,776.2501159,4556.616469
426.2602094,-132.3628286,105.4567232,762.3968876,4562.159009
410.6531674,-87.09955502,90.40383413,748.7249078,4567.557646
409.3247738,-56.61600029,72.60029519,735.2489711,4572.81196
434.372393,-51.19242177,52.17510675,721.9833572,4577.921565
459.3065906,-41.29226094,29.46774893,708.9418159,4582.886105
463.6007417,-16.73641153,5.022855651,696.1375533,4587.705261
469.0072638,3.070818944,-20.4400435,683.5832178,4592.378743
495.221714,9.140483635,-46.07938164,671.2908875,4596.906297
528.0075095,17.6546885,-71.00195534,659.2720578,4601.287699
536.8237403,39.00939613,-94.34352931,647.5376302,4605.522763
549.6226702,58.55884064,-115.3507419,636.0979013,4609.61133
575.6109676,60.40796491,-133.454763,624.962553,4613.553277
604.0059955,52.29239399,-148.327548,614.1406433,4617.348515
623.3953118,51.8500754,-159.9129703,603.6405978,4620.996985
628.5691394,58.48949458,-168.4274984,593.4702017,4624.498663
641.3500102,53.51805298,-174.3282117,583.6365933,4627.853555
687.17717,24.60437789,-178.2495085,574.1462578,4631.061703
677.1260219,-20.4207098,-180.9135119,565.0050216,4634.123178
677.6845336,-62.29815678,-183.0225116,556.218048,4637.038087
699.1446944,-84.93665875,-185.1444352,547.7898338,4639.806566
705.6208042,-83.44981388,-187.6039807,539.7242057,4642.428785
696.5097804,-65.91660976,-190.3924345,532.0243185,4644.904945
684.2583787,-47.26809263,-193.1082215,524.692654,4647.235281
684.0452713,-35.5784423,-194.9379074,517.7310202,4649.420058
671.5881868,-25.01445189,-194.6838596,511.1405515,4651.459573
646.3018805,-7.03738853,-190.8403573,504.9217104,4653.354155
620.2241667,15.11242006,-181.7150392,499.0742888,4655.104164
590.224813,31.43543462,-165.5876494,493.5974112,4656.709991
559.0847081,41.33730069,-140.893605,488.4895379,4658.172058
522.398473,52.2786671,-106.4164302,483.7484696,4659.490821
466.4860748,62.51680811,-61.47099656,479.3713525,4660.666761
414.1795557,61.05442607,-6.059060988,475.3546843,4661.700395
369.808323,49.32502034,59.02006882,471.6943207,4662.592267
314.6785072,44.32523685,132.1178198,468.3854832,4663.342953
233.3828152,48.4983107,210.7530495,465.422767,4663.953058
163.2978354,35.78795481,291.7008429,462.8001504,4664.423216
109.5411403,-11.53693606,371.1506976,460.5110044,4664.754094
45.0587613,-67.79818447,444.9249364,458.5481031,4664.946384
-69.84810587,-93.35866375,508.7423253,456.903635,4665.000809
-133.2583976,-87.5661167,558.5071768,455.569215,4664.918123
-192.3533671,-77.30281362,590.6011797,454.535897,4664.699104
-281.0715633,-61.03134582,602.1541594,453.7941872,4664.344563
-384.2407415,-15.04973603,591.2710841,453.334058,4663.855335
-452.1231381,35.32003882,557.1958491,453.1449625,4663.232288
-507.0414964,13.28191424,500.39742,453.2158504,4662.476312
-627.4661097,-96.4377593,422.5703584,453.5351828,4661.588328
-651.4324707,-179.3767522,326.5489905,454.0909498,4660.569283
-754.7127523,-106.7799192,216.1418346,454.8706866,4659.42015
-851.4759267,95.05282923,95.89967465,455.8614917,4658.141931
-837.051224,264.3993218,-29.16379401,457.0500449,4656.735651
-930.0928939,302.9539488,-153.8760443,458.4226255,4655.202364
-1025.113898,278.275786,-273.210167,459.9651323,4653.543146
-990.9640614,284.3578086,-382.5659523,461.6631025,4651.759103
-1120.815097,269.0286728,-478.0066684,463.5017319,4649.851361
-1094.809304,92.67763332,-556.4352989,465.4658958,4647.821074
-1054.145735,-253.653767,-615.7000864,467.5401693,4645.669419
-1207.570455,-583.2399006,-654.6260913,469.7088491,4643.397598
-1248.716633,-703.8697873,-672.9763903,471.9559746,4641.006836
-1040.727342,-606.4335653,-671.3528238,474.2653505,4638.498381
-1137.850899,-404.861961,-651.0512124,476.6205684,4635.873504
-1179.545111,-140.7341896,-613.8892296,479.0050297,4633.133501
-1246.063492,244.9081694,-562.0263317,481.4019685,4630.279686
-1013.116527,723.1029089,-497.7942548,483.7944742,4627.313399
-922.4848664,1055.897089,-423.5537368,486.165515,4624.235999
-1150.879539,964.401403,-341.5886936,488.4979612,4621.048868
-1085.074056,424.7596449,-254.0436043,490.7746088,4617.753407
-823.0325429,-259.4227095,-162.9039895,492.9782029,4614.351039
-756.5343354,-706.7460492,-70.01428339,495.0914618,4610.843206
-879.2757235,-760.6999996,22.87725187,497.0971004,4607.231371
-837.1051516,-544.1798417,114.0601243,498.9778542,4603.517015
-629.450926,-269.2718747,201.8046592,500.7165032,4599.701638
-469.4186993,-50.72481808,284.3208615,502.2958954,4595.78676
-561.6774629,105.7295607,359.7450129,503.698971,4591.773918
-514.5345595,209.2292043,426.1619027,504.9087856,4587.664667
-358.6447427,242.2001471,481.665483,505.9085342,4583.460578
-235.6501265,203.6601572,524.4551532,506.6815741,4579.163242
-186.3255495,139.120347,552.9594903,507.2114488,4574.774263
-144.9803364,95.23845885,565.9747026,507.4819105,4570.295264
