IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,Res
5.332340783,0.787193744,-0.777044698,-0.560251758,-0.484359643,-1.393024416,-0.514568133,2.567034295,-0.498832594,0.209144115,27.2923683
5.331208558,0.788968356,-0.765190401,-0.587056369,-0.401061396,-1.37089643,-0.557130151,1.642218878,0.127617106,0.361927952,27.2793939
5.329742608,0.790801074,-0.752383096,-0.614130159,-0.315937708,-1.301670545,-0.543594235,0.271489412,1.062389679,-0.643196768,27.26648974
5.327801821,0.792725125,-0.738161923,-0.641202643,-0.234770226,-1.165498843,-0.419062951,-1.843537245,2.515173027,-0.687160137,27.25369399
5.325621033,0.794686272,-0.7233133,-0.668701893,-0.148429708,-1.015888152,-0.327521853,-3.067083481,1.557038359,-0.007351053,27.24094378
5.323218496,0.796680059,-0.707896125,-0.696671498,-0.055928195,-0.853586047,-0.277070024,-3.259373633,-2.060677322,4.953070222,27.22823407
5.320350114,0.798763401,-0.691103883,-0.724657599,0.033067036,-0.633918042,-0.148842068,-3.467430365,-3.217774419,-3.808259344,27.21563057
5.317060606,0.800925917,-0.673086725,-0.752746074,0.120421331,-0.366820349,0.026881273,-3.27381151,-2.341652339,-4.787836283,27.20312128
5.313766753,0.803067531,-0.655182902,-0.781806815,0.225127802,-0.085153749,0.145751957,-2.494304947,-0.525940672,6.334082613,27.19059243
5.310469271,0.805187794,-0.63739209,-0.811852931,0.347536808,0.214539724,0.212756353,-1.159375089,3.299014658,-0.918928158,27.17804366
5.306993485,0.807328805,-0.619157752,-0.842520167,0.47972499,0.542423305,0.25731824,0.999932887,3.343050066,-1.410616629,27.16552277
5.303440885,0.80946607,-0.60080502,-0.874026665,0.626494451,0.891833049,0.254623031,4.064845294,-0.706446597,1.037573512,27.15300199
5.299499753,0.811673822,-0.581326422,-0.905746056,0.774293872,1.295791519,0.296393296,5.263433548,-1.665277088,-0.56930234,27.1405661
5.295146881,0.813957529,-0.560647436,-0.937636624,0.922258942,1.756909356,0.386407271,4.430808752,-0.54855416,-0.096871885,27.12822137
5.290619292,0.816260395,-0.539531451,-0.970191156,1.081151638,2.254227054,0.458564567,2.987252898,-0.187085268,0.342828847,27.11590318
5.285845305,0.818599406,-0.517746665,-1.003270774,1.248003323,2.796040215,0.532824528,0.210473973,0.551276967,-0.175677258,27.10363098
5.281316204,0.820890962,-0.497362655,-1.028650826,1.378283064,3.145664969,0.555396364,-1.289519821,0.618366664,0.194325135,27.09128994
5.277107151,0.823120453,-0.478671122,-1.045541954,1.468695623,3.277706364,0.51374386,-1.264884827,-0.289407729,-0.270729294,27.07886147
5.272935732,0.825339367,-0.460533714,-1.057691425,1.538019671,3.309793988,0.44719067,-1.590455659,-0.421791688,0.440779517,27.06641354
5.268950371,0.827521984,-0.443569965,-1.062719414,1.573670773,3.173488099,0.338451769,-1.618362119,-0.01395561,-0.887387078,27.05391119
5.264923774,0.829703089,-0.42676874,-1.065452286,1.603829205,3.00076042,0.201554485,-1.606257116,0.244952483,0.7713493,27.04140539
5.26084137,0.831885379,-0.410073146,-1.066045215,1.629338543,2.798016181,0.03854733,-1.7260912,0.627265364,-0.082584267,27.02889966
5.25695301,0.834027765,-0.394556825,-1.059907646,1.624700112,2.437310994,-0.173654803,-1.335694453,0.147314139,-0.18282872,27.01633643
5.253219119,0.836136138,-0.380042477,-1.047901025,1.595102731,1.943029373,-0.43311691,-0.509566651,-1.345323329,0.124738562,27.00372447
5.249196646,0.838292043,-0.364754537,-1.035743499,1.56868735,1.493685235,-0.606138301,-0.006332573,-0.942896459,0.064833277,26.99117082
5.244886889,0.840495822,-0.348707915,-1.023233363,1.544190336,1.085936691,-0.684239947,0.225801837,1.303918273,-0.347724127,26.9786755
5.240484165,0.842710812,-0.332670478,-1.008064586,1.510952096,0.647380976,-0.73056599,0.514510152,0.835697786,0.473373979,26.96619109
5.235883016,0.844956596,-0.316223148,-0.991529681,1.475293579,0.21989645,-0.709156549,0.7066603,-2.036379369,-0.703144351,26.95374316
5.231417603,0.847173143,-0.300728612,-0.968868065,1.413029379,-0.338628097,-0.704349566,0.957481137,-2.01532031,0.497541562,26.94125183
5.227116789,0.849355167,-0.286304372,-0.939670226,1.322224449,-1.039415523,-0.721653727,1.289986445,0.339254928,0.360395921,26.92871015
5.22273167,0.851547971,-0.271946295,-0.907273442,1.21965708,-1.779085722,-0.687931312,1.512714808,2.643788768,-0.320381504,26.91617798
5.218342049,0.853737253,-0.257981319,-0.870510657,1.099451729,-2.591367639,-0.620818424,1.655618487,5.835136206,-0.735243948,26.90363626
5.213697287,0.855960002,-0.243274864,-0.835185474,0.99590203,-3.172018478,-0.539916706,1.389263288,3.206275568,1.318156923,26.89114042
5.20874855,0.858224343,-0.227620119,-0.802147712,0.913808112,-3.480452601,-0.437023284,0.644131455,-6.093729218,-0.867172413,26.87870179
5.203674417,0.860502052,-0.211801114,-0.767746191,0.832436274,-3.684911493,-0.313844562,-0.414230515,-7.261718173,1.360501417,26.86627983
5.198398726,0.862804584,-0.195477121,-0.733665361,0.761747202,-3.695704974,-0.172191954,-1.89953699,-1.099100216,-3.571248087,26.85389152
5.193013509,0.865120212,-0.179093174,-0.697211498,0.685347043,-3.665353871,0.019002896,-2.514245276,1.42838353,3.253519061,26.84151757
5.187532687,0.867446712,-0.162711346,-0.658082106,0.601629383,-3.603768517,0.261803078,-2.146375486,2.851571607,-0.108200824,26.82915481
5.181842357,0.869800181,-0.145806584,-0.619102905,0.527599183,-3.353438888,0.540915153,-1.521798127,3.509787551,-0.946625962,26.81682804
5.175961069,0.872178244,-0.128469509,-0.579713489,0.459946454,-2.942496679,0.864580257,-0.292326958,1.766042057,-0.090234813,26.80453337
5.170172683,0.874535304,-0.11193512,-0.534326679,0.367180214,-2.630557026,1.05354992,0.415647287,-0.157444374,0.340971821,26.79220597
5.16448566,0.876869732,-0.096237674,-0.482827123,0.248871251,-2.416624164,1.089875517,0.486139139,-2.753885306,0.153489198,26.77984377
5.158775081,0.879201972,-0.080841133,-0.427527552,0.118052017,-2.191164684,1.064972353,0.761616405,-3.004390882,-0.396169106,26.76747553
5.153113456,0.88152029,-0.066060736,-0.36700593,-0.033173727,-2.01651346,0.928070943,0.962444012,-0.330963857,0.513484368,26.75508464
5.147306538,0.883855225,-0.05104427,-0.305227341,-0.181995876,-1.695300552,0.780386999,1.004473401,0.911230508,-0.516399753,26.74271512
