IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,Res
0.017246942,0.105335182,-0.042293839,-0.077010753,0.289763119,0.114558901,-0.316759763,-1.43354661,1.257580481,-0.490418119,-0.616489838,33.15083198
0.025088994,0.084118838,-0.098394301,0.294875224,-0.07808601,0.141869931,-0.672139248,-1.527578287,1.116459187,-0.524645534,-0.644549774,33.13669897
-0.065755453,-0.204354844,0.109901353,0.127245567,-0.387765524,0.134869939,-0.820829832,-1.540628294,0.935527536,-0.561785479,-0.679014342,33.11618403
0.090734718,0.180497391,-0.018649175,-0.147527641,-0.292956693,0.165005588,-0.691457198,-1.457252168,0.733189571,-0.587774457,-0.706899219,33.10182394
-0.10178065,-0.06048308,-0.101411814,-0.139976151,0.092404991,0.198937645,-0.332318187,-1.296364446,0.502046719,-0.613131025,-0.738674091,33.08323914
0.107769544,-0.046711102,0.146579182,0.022205532,0.382469757,0.17526248,0.151115618,-1.067427143,0.246649644,-0.638074543,-0.774903769,33.05974995
-0.100733451,0.088288129,-0.012660892,0.112051571,0.307770874,0.055696579,0.623953601,-0.773517163,-0.020725262,-0.65697884,-0.810858833,33.03569355
0.072332733,-0.070707341,-0.184526388,0.088620541,-0.048148318,-0.139838414,0.953861578,-0.414927614,-0.281518502,-0.658621598,-0.836294857,33.02085388
-0.038226713,0.007006234,0.147827149,-0.068043259,-0.384049663,-0.363052358,1.0126973,-0.021402497,-0.538597595,-0.651279078,-0.859325839,33.00716829
0.010676446,0.057130467,0.122119639,-0.179862444,-0.388248531,-0.501686471,0.751674447,0.378443613,-0.790815081,-0.639359732,-0.884189528,32.99041491
0.010099329,-0.06043394,-0.247019915,-0.001763426,-0.007848829,-0.420784695,0.234106566,0.769003735,-1.024736841,-0.616187117,-0.904620328,32.97655967
-0.029406521,-0.014015326,0.012959597,0.23930645,0.423952998,-0.084087317,-0.399559542,1.130902255,-1.229633385,-0.577308775,-0.916403907,32.96955773
0.035933783,0.094611299,0.258061072,0.090330073,0.466958383,0.386515346,-0.972363699,1.440107764,-1.398316135,-0.520496687,-0.917077129,32.97178314
-0.048651609,-0.133160943,-0.205355545,-0.29663592,0.013104798,0.743479682,-1.323733812,1.666804538,-1.528953003,-0.4467851,-0.906640244,32.98346888
0.067199583,0.06948736,-0.163108259,-0.262777165,-0.558900299,0.723225818,-1.374197181,1.758010045,-1.644699043,-0.379595466,-0.906356046,32.98409298
-0.063427505,0.125818158,0.418579197,0.333633973,-0.595626723,0.300573561,-1.070502989,1.707628198,-1.736735378,-0.313026421,-0.909659427,32.9802237
0.023785387,-0.339857411,-0.133602301,0.499366915,0.059691186,-0.31686122,-0.440311007,1.528937364,-1.789754278,-0.235281561,-0.904528697,32.98366675
0.043006213,0.368100819,-0.461597953,-0.303394134,0.733277574,-0.842973557,0.357081399,1.213153715,-1.817622313,-0.160929107,-0.904041363,32.98173464
-0.115916602,-0.093162243,0.57587846,-0.743443872,0.675960321,-0.987956846,1.122607007,0.777452058,-1.82195784,-0.09287619,-0.910087563,32.97269993
0.193120075,-0.351778113,0.137451608,0.177273342,-0.113957463,-0.619273285,1.662193681,0.258344761,-1.798484116,-0.028981491,-0.920086347,32.95904533
-0.261955568,0.68242119,-0.836670675,0.988224813,-0.843811726,0.13335397,1.827626975,-0.297885841,-1.742599443,0.033237434,-0.931299205,32.94333984
0.314136363,-0.628783465,0.486546123,0.077837998,-0.732853712,0.907136017,1.548254522,-0.84664608,-1.656152812,0.090536669,-0.946595216,32.92261757
-0.329404049,0.153776071,0.650944932,-1.153466184,0.174519429,1.296511506,0.869184946,-1.337008005,-1.537190374,0.143309014,-0.965604936,32.89697177
0.302225057,0.520927468,-1.070495667,-0.418798678,0.994878786,1.072250901,-0.046598545,-1.709188171,-1.373244803,0.202160844,-0.978310286,32.87587366
-0.240975237,-1.011731896,0.016877848,1.198577199,0.827797256,0.279188781,-0.986517291,-1.925982067,-1.163910711,0.267685234,-0.984180049,32.85955076
0.142172338,0.957211521,1.224275846,0.807199796,-0.261577678,-0.749172847,-1.732178001,-1.970735834,-0.915356372,0.335955276,-0.986750016,32.84436085
0.004078953,-0.277933808,-0.899989766,-1.111395822,-1.189373069,-1.515140359,-2.102016415,-1.844298772,-0.638072299,0.399357571,-0.993510854,32.82255977
-0.188626197,-0.669957876,-0.686348659,-1.145859507,-0.860641103,-1.526679778,-1.927630054,-1.50156381,-0.287607784,0.502767469,-0.961462108,32.83587058
0.305088254,1.191521621,1.333008019,0.787038838,0.381579569,-0.76010759,-1.257581899,-0.98173679,0.126297357,0.645403337,-0.889752543,32.8854713
