IMF1,IMF2,IMF3,IMF4,IMF5,IMF6,IMF7,IMF8,IMF9,IMF10,IMF11,residual
-100.6679158,389.992007,115.366964,-444.3003216,368.9912851,76.70172538,20.06158951,-40.29645486,-6.498879385,-56.03252628,11.99594664,3046.78658
-99.3954843,391.8660194,116.7555396,-417.2636288,374.3112484,69.57438292,-49.71479606,-13.91599161,-13.04441065,-8.991157994,-17.95369218,3048.751971
-98.11028803,393.8416591,118.2955016,-390.4576879,378.1387964,61.2501081,-140.5975772,-12.02203682,-10.54867669,89.60202724,38.20827673,3050.729898
-96.83004139,395.8181532,119.8131499,-363.3975845,381.3701923,52.24669075,-234.9316849,10.98187014,-9.273498587,83.18688567,-29.42931564,3052.705183
-95.54913761,397.8283132,121.3633437,-336.2372508,383.6972767,42.37342752,-338.2744395,42.13985681,-5.227470696,-37.75095118,-13.14570109,3054.682733
-94.28295405,399.7552642,122.8046014,-308.5295839,386.5617771,32.84608072,-409.3140724,56.44788747,-3.383316477,-52.36931112,23.37762756,3056.645999
-93.03475429,401.5779381,124.1058177,-280.1827979,390.1829685,23.82341655,-442.0999236,56.62131638,-4.875985164,14.13063289,-6.620526631,3058.591897
-91.79306151,403.3764124,125.3750723,-251.5237505,393.6412346,14.58038555,-460.1579871,45.48053091,-4.347102212,8.179117346,-5.072803807,3060.531952
-90.56261476,405.1156122,126.5685541,-222.4153003,397.3575465,5.465442089,-451.1739306,17.24900341,-3.104835808,-38.84351893,22.17287214,3062.46117
-89.33830666,406.8418743,127.7310526,-193.0122634,400.6789896,-4.125150663,-435.0095086,-1.852381931,3.360434473,-29.89014276,-18.21050355,3064.385907
-88.11924252,408.5614754,128.8711019,-163.3398973,403.5303699,-14.25104504,-413.0167006,-11.5025255,16.21887697,18.65396182,-19.76343701,3066.307062
-86.91221118,410.2200735,129.9271792,-133.1982211,406.6086832,-24.30489889,-364.0632129,-29.63976115,32.41144645,45.50673092,20.48717762,3068.217014
-85.71618534,411.8270497,130.9083781,-102.6182096,409.7788552,-34.41168069,-291.7543835,-50.8319639,53.49649084,63.70331122,28.53129112,3070.117047
-84.51270981,413.5083423,131.9893086,-72.12311653,411.6267026,-45.66474377,-232.8492472,-61.15391582,53.15849629,26.75877166,-30.82325755,3072.025369
-83.30116378,415.2672975,133.1762508,-41.72948712,412.1218363,-58.0801438,-187.3173163,-61.095309,28.77259051,-80.63504867,-20.71199592,3073.942489
-82.08978794,417.0492908,134.3909162,-11.20470919,411.8550536,-71.21520152,-139.3735553,-53.43002276,-5.795422515,-80.94160537,32.0345866,3075.860457
-80.87384816,418.8863949,135.6782658,19.31740334,410.4666093,-85.34619996,-97.86120853,-34.56368367,-57.93137944,22.93210329,-1.598372378,3077.783916
-79.6657976,420.6913899,136.9214007,50.19238145,408.9563289,-99.6811823,-35.12887253,-17.45361128,-80.17241244,40.17215247,-7.572092411,3079.700315
-78.46650295,422.4584092,138.1122417,81.44504339,407.3864113,-114.1726674,51.05888019,-2.184784171,-68.07360597,-1.3835524,-3.84867656,3081.608804
