sub1,sub2,sub3,sub4,sub5
3493.775791,887.2349477,393.8797445,-324.3507316,146.2602489
3496.630182,928.6337405,400.81045,-369.7203427,213.1559701
3499.584458,970.0231576,415.1609473,-391.3712824,198.9927204
3502.518844,1011.686754,376.2253706,-405.1215854,172.980616
3505.492165,1053.486793,404.1264557,-403.3809386,104.4955258
3508.406643,1095.651525,381.6242499,-396.0883322,27.46591493
3511.253416,1138.202477,389.5158378,-384.1725435,-53.18918765
3514.133623,1180.903489,375.1644781,-355.7184116,-135.6831777
3517.027874,1223.80027,406.472594,-312.4702754,-208.9104634
3519.75509,1267.322012,352.8016419,-279.6736398,-210.4551044
3522.313556,1311.473656,323.2532312,-257.619632,-126.830811
3524.778352,1356.077578,413.8889093,-234.9978881,-12.19694966
3527.104499,1401.240902,342.1457244,-217.9778029,153.5966764
3529.424702,1446.650883,345.4485457,-188.3487556,114.8246249
3531.747965,1492.286786,352.4553952,-144.593081,-157.9270652
3533.971206,1538.392914,329.555203,-100.7228094,-209.2665133
3536.124135,1584.899718,346.3918114,-52.48607146,-79.95959223
3538.440372,1627.736871,314.9296132,-16.29740162,-28.21945426
3540.932384,1666.513373,320.0723831,4.71474822,22.61711112
3543.512063,1703.082831,317.0547856,21.38654414,73.55377629
3546.244401,1736.267154,307.3793,28.63655439,94.05259048
3548.970938,1768.454608,298.8736691,32.77743055,88.7933547
3551.688269,1799.721503,317.361957,34.45902192,44.64924904
3554.534519,1827.795565,275.2438164,25.87408941,33.81201124
3557.480467,1853.102703,275.0939146,8.12809147,56.13482315
3560.396158,1878.472661,298.9434094,-1.33073785,39.22850924
3563.290168,1903.805221,268.7512791,-2.23782209,-4.77884674
3566.208684,1927.958584,269.4837731,-2.46283967,-24.15820002
3569.123521,1951.572064,255.8170759,2.2842573,-26.99691781
3572.153034,1972.289054,262.6089214,-0.43917258,-18.24183664
3575.306694,1989.906452,235.7556591,-11.6642402,12.06543525
3578.505138,2006.075612,248.2407386,-21.7394728,50.32798377
3581.777526,2020.218503,231.0541391,-33.55525432,99.06508553
3584.926262,2035.210534,216.6469525,-40.09029227,82.92654383
3587.925792,2051.472256,269.8960003,-39.60827661,-7.76577118
3590.892351,2067.19456,167.510269,-37.5239914,-39.63318824
3593.769197,2083.211728,196.719604,-31.56634583,-25.50418283
3596.654995,2098.188181,221.0454351,-23.60404979,-16.26456151
3599.558997,2111.973728,192.8713545,-13.97442571,12.53034664
3602.381939,2125.968394,171.1298986,0.34952164,15.18024651
3605.143967,2139.894063,173.4779531,19.06683659,-13.95281971
3608.019823,2150.982565,168.4104601,33.25383752,-22.37668545
3611.011541,2159.176477,160.3663643,42.6546197,-19.60900255
3614.048211,2165.621053,144.7916762,51.45895876,-24.90989878
3617.173676,2169.611508,144.7247034,57.43312597,-31.2130135
3620.260306,2173.111917,132.0562791,66.64393384,-39.33243653
3623.300157,2176.241356,118.8187593,79.60632606,-51.16659821
3626.393294,2177.428328,122.3700985,91.47834226,-52.59006338
3629.511675,2177.097955,104.4197792,103.6556994,-43.13510803
3632.532992,2178.169084,98.81586349,112.7607971,-32.83873612
3635.456388,2180.748921,85.70744705,117.9063748,-18.58913069
3638.31962,2183.759497,77.99013415,121.678838,-7.218089355
3641.090459,2187.989979,64.66547065,122.9543663,-0.450274752
3643.863862,2191.366956,52.93144884,122.5594519,4.498281701
3646.641781,2193.829404,45.46959595,120.6234968,5.155722229
