sub1,sub2,sub3,sub4,sub5
-1667.068636,4.07606589,29.38065505,-142.4497274,3378.606259
-1644.733931,-46.66049496,25.53114349,-88.61589618,3381.88586
-1609.198458,-78.49464221,18.90968064,-23.16057605,3385.30452
-1585.481557,-69.09226871,10.8733824,52.04233103,3389.118442
-1557.340221,-33.40211259,13.65199268,131.7401466,3393.174982
-1528.443856,-1.80917843,38.01231661,209.4252077,3397.288712
-1488.00941,16.56150663,77.62837322,279.0125612,3401.467692
-1481.645122,33.86434751,111.7105612,334.2654253,3405.67396
-1423.438907,59.36642841,130.342419,369.8374048,3409.950314
-1407.60788,69.79970358,146.3619279,380.0681127,3414.037626
-1384.464275,45.7937532,178.8386878,362.4796825,3418.003236
-1327.642849,-3.918189523,219.0354502,316.4345678,3421.880473
-1323.23991,-55.70962425,233.5280704,242.4141838,3425.468651
-1278.523516,-84.67191356,209.2904473,145.3751662,3429.038359
-1244.218818,-73.55398529,171.6956658,31.82995796,3432.77498
-1221.005038,-10.74208183,154.1562994,-90.84115532,3436.767004
-1181.918011,62.04474554,154.8634521,-215.3404613,3440.907757
-1146.569042,72.79641617,139.9700447,-333.8813412,3445.109503
-1118.277249,33.78388003,90.72664577,-438.5071903,3449.316823
-1083.257132,14.51089767,34.99187884,-520.372464,3453.793314
-1042.447219,-5.782754176,15.30085879,-572.9816678,3458.589888
-1014.804525,-59.76457546,37.95865911,-592.8704335,3463.511451
-976.2869859,-68.96488112,68.26421243,-577.3868478,3468.632613
-935.2269509,-9.940295057,73.22592063,-525.9325733,3474.081161
-910.994947,11.70693276,62.663595,-441.5640989,3479.718051
-855.0964485,-11.06775301,79.04350358,-328.8736334,3485.553131
-839.4199381,16.14094968,139.4895688,-194.4660784,3491.565034
-784.8849322,56.0798174,205.9880565,-46.66028943,3497.683675
-748.4089082,11.20713679,225.8694179,103.9267911,3503.496909
-730.279697,-43.98382554,199.3489603,250.0276029,3509.295096
-660.3841502,-21.28816556,173.3476413,384.178708,3515.221759
-652.5604893,18.80212514,179.2869369,498.1255768,3521.076881
-597.7440185,23.29609716,194.7837088,586.1578204,3526.924026
-562.1434953,17.154863,169.6803322,643.0116486,3532.532745
-530.4330625,16.21516391,94.24295761,667.488275,3538.102438
-486.5933903,7.908683107,13.99434205,659.7336597,3543.680845
-454.5581853,5.420047646,-20.82363295,621.2906571,3549.214548
-404.5986695,2.579672534,-11.616441,556.3073551,3554.857466
-391.6786737,-32.63949516,-8.47093681,468.9543035,3560.484489
-320.1851563,-60.96184049,-42.60858778,365.4093348,3566.202656
-309.1583397,-43.83425608,-85.39001302,251.416209,3571.901415
-267.8334735,-19.46742749,-80.08253658,134.3134222,3577.781925
-206.1793002,-4.917446957,-16.70889998,21.10777088,3584.078358
-204.7806109,46.64639439,48.11444887,-84.93421216,3590.416734
-134.8497992,116.3410894,62.33376548,-179.2618506,3596.924714
-109.4547969,92.29424223,35.8151604,-260.6298681,3603.221131
-75.46651147,-4.792102764,26.74293415,-326.0063766,3609.496264
-30.1805608,-60.46674646,59.89565217,-372.9931833,3616.008505
8.669603326,-68.92735211,89.51180269,-402.2570364,3622.600973
38.46525172,-72.91519078,61.05194007,-414.4572018,3629.327188
84.03767477,-65.17747786,-18.4374185,-411.5937773,3636.106617
121.7890091,-36.69494346,-87.46218472,-396.1269015,3642.849001
153.6656349,7.477405594,-105.8844137,-369.2256775,3649.786223
194.9435437,69.79123283,-104.4179041,-333.5930086,3656.850099
236.151592,118.2619167,-136.1576115,-291.7397296,3664.028375
267.986607,86.74907156,-202.1588481,-247.2271944,3671.028872
303.2057922,8.578718315,-244.8494595,-201.2490256,3677.954012
350.7187874,-30.97061393,-224.7420702,-153.7392957,3685.077426
373.8977742,-50.42811431,-173.5084225,-106.3912505,3692.246017
417.1500096,-83.57503165,-146.5427722,-59.52922276,3699.5693
456.9161652,-75.851476,-152.1561857,-13.70165675,3707.095847
484.6352663,-1.717572074,-148.1046631,29.9578465,3714.775108
524.1122588,51.47029208,-105.9058183,69.77421882,3722.465132
567.6426939,27.82270218,-53.53521015,104.0192966,3730.011856
586.0404906,-9.916154181,-40.59385735,131.3466847,3737.293924
632.793176,-6.174613468,-74.80045667,152.4985737,3744.589179
666.8322516,5.117359108,-118.901001,166.9115674,3751.883925
688.103698,7.087999077,-139.8001984,173.6103286,3759.08315
735.9846333,23.47982625,-147.2938809,171.5452612,3766.036709
760.3919916,45.64714924,-174.324564,160.9232654,3772.785801
786.6365348,47.90406349,-230.5848829,142.6286821,3779.43539
829.9927229,35.11026085,-287.5378601,117.266267,3785.966142
851.2925811,8.652445097,-309.6242462,85.72336975,3792.352992
