sub1,sub2,sub3,100mspd,10mspd
-0.417363385,1.414909958,25.63245343,11.3843,9.5934
-0.907440074,-0.369781987,26.00722206,11.5288,9.6936
1.395676951,-0.538583322,26.51290637,11.7291,9.848
-0.552716041,-1.312164783,27.11488082,11.9231,10.0019
1.311149812,-3.880876588,27.74972678,12.0489,10.069
-0.574844575,-4.874774995,28.33961957,12.0619,10.1032
-0.484768265,-3.046864714,28.81163298,11.9889,10.0331
-0.493789017,-1.392804799,29.11659382,11.8737,9.9271
-0.263659776,-1.328473314,29.24213309,11.7598,9.8222
0.639147068,-1.50524433,29.21609726,11.6806,9.7468
0.719225798,-1.698323968,29.09909817,11.6295,9.6966
-0.130944173,-2.58703597,28.96798014,11.5903,9.659
0.010386235,-3.354928323,28.89454209,11.5462,9.621
-0.668181628,-3.347078203,28.92525983,11.4848,9.5724
-0.225264028,-3.502344427,29.06760845,11.4135,9.5177
0.185506033,-3.702411785,29.28690575,11.345,9.4652
0.063684191,-2.71850828,29.51482409,11.2919,9.4233
0.362621957,-1.640208695,29.66758674,11.2631,9.3985
0.009176256,-2.028391676,29.66921542,11.2516,9.3883
0.530178653,-2.243921326,29.47374267,11.2464,9.3881
-0.906806605,-1.22363626,29.08044286,11.2358,9.3927
0.410198713,-1.178042407,28.53784369,11.2082,9.395
-1.152468494,-2.472646726,27.93511522,11.1519,9.3802
0.774015499,-2.92667482,27.38265932,11.0551,9.3316
0.168168816,-2.664671894,26.98650308,10.9063,9.233
0.454992831,-2.657712913,26.82272008,10.7018,9.0765
0.256185591,-2.124341715,26.91815612,10.4685,8.8874
-0.679542147,-1.162677673,27.24221982,10.2409,8.6996
-0.307370147,-0.554444846,27.71181499,10.0531,8.5466
-0.189409168,-0.248919205,28.20832837,9.9332,8.4553
-0.242944479,-0.84979166,28.60273614,9.8835,8.4253
0.895494694,-2.108542009,28.78304732,9.9001,8.4494
0.412224141,-2.58010366,28.67787952,9.9789,8.5201
0.018155949,-2.869169306,28.27101336,10.1102,8.6262
0.015449089,-3.069431919,27.60398283,10.2628,8.7429
-1.558201395,-1.858348475,26.76654987,10.4001,8.8421
0.102898623,-1.060492452,25.87759383,10.4853,8.8957
0.308435817,-1.589338856,25.06090304,10.4906,8.8828
0.926990306,-1.178174428,24.42118412,10.4242,8.812
0.839333367,-1.25453636,24.02520299,10.3033,8.6988
-0.827757247,-2.95377764,23.89153489,10.1447,8.5587
-0.638887579,-3.01145985,23.99034743,9.9696,8.41
-0.763500366,-2.138986619,24.25248698,9.8166,8.2838
0.318059802,-2.63342325,24.58536345,9.7279,8.2135
0.777719708,-2.559783175,24.89206347,9.7457,8.2328
0.381976338,-1.971868605,25.08989227,9.9012,8.3658
0.5089266,-2.193997061,25.12507046,10.177,8.595
-0.874042179,-2.237322836,24.98136502,10.5429,8.8917
-0.394913949,-2.026802092,24.68171604,10.9664,9.2252
-0.799804338,-1.543349512,24.28315385,11.4107,9.5623
0.287403551,-0.923687771,23.86628422,11.8287,9.866
1.326660275,-0.63791944,23.52125917,12.17,10.097
0.513058466,-0.005503138,23.33244467,12.3834,10.2159
-0.033000594,-0.521000709,23.3640013,12.4407,10.2031
-1.672671541,-1.675705629,23.64837717,12.4013,10.1142
-0.776410974,-0.462914691,24.17932566,12.3462,10.0234
0.854236007,0.085239574,24.91052442,12.3548,10.0026
1.172074842,-0.372270146,25.7601953,12.4796,10.0988
0.854619128,1.974050271,26.6213306,12.6736,10.2669
-1.521539383,3.785256298,27.37628308,12.8654,10.4399
-0.537229146,3.823532351,27.91369679,12.9838,10.5505
-0.215915775,4.020715676,28.1452001,12.9756,10.5475
1.298495297,3.022391022,28.01911368,12.8555,10.4421
-0.161269512,3.122516816,27.5287527,12.655,10.2608
-0.643657097,3.689923198,26.7137339,12.4053,10.0298
-0.148302194,2.494382777,25.65391942,12.1354,9.7753
0.874284474,4.078708205,24.45700732,11.8727,9.5276
0.951935748,6.856048578,23.24201567,11.6435,9.3171
-1.352437269,7.060729747,22.12170752,11.4734,9.1734
-1.504702654,7.237540142,21.18716251,11.3769,9.113
-0.251195629,7.274035521,20.49716011,11.3262,9.1032
2.415706973,7.100374666,20.07391836,11.2844,9.1009
1.798446413,6.426251645,19.90530194,11.2156,9.064
-1.022455415,5.110226893,19.95222852,11.0963,8.9641
-2.69669576,5.717687328,20.15900843,10.9439,8.8224
-1.550208116,6.166219886,20.46398823,10.7835,8.6703
2.004266773,6.957531784,20.80820144,10.6372,8.5372
2.299126761,7.230239334,21.1406339,10.5176,8.4421
0.865446168,5.484649166,21.41990467,10.4109,8.3696
-2.048423747,6.755135825,21.61328792,10.2989,8.2973
-1.732453089,5.73772718,21.69472591,10.1644,8.2032
0.18196524,4.074434248,21.64360051,9.9986,8.0737
0.826612801,4.40786628,21.44552092,9.8212,7.9247
1.713253942,2.191328958,21.0954171,9.6591,7.7802
-1.554880572,5.342762296,20.60211828,9.5385,7.6647
1.227567435,3.239726,19.99270657,9.4793,7.5988
-2.128539449,-1.487229341,19.31457496,9.4747,7.581
2.370348119,3.826212049,18.63343983,9.5104,7.6024
-2.332683058,0.257893709,18.02651263,9.5708,7.6513
1.579976881,-3.019353464,17.57137897,9.6393,7.7136
-1.363476084,0.310894814,17.33249148,9.6955,7.7703
1.159380419,-2.165513606,17.34815416,9.7191,7.8019
0.192799899,-1.54798763,17.62114934,9.6902,7.7897
-0.37087574,-1.718259422,18.11560189,9.5992,7.7231
0.431577934,-3.503367256,18.76138415,9.4712,7.6207
-0.898951435,-3.227388368,19.46564048,9.3381,7.5066
0.214127415,-5.293083734,20.12928407,9.2283,7.4026
-0.232157713,-5.559149663,20.66504056,9.1612,7.3243
0.021203521,-6.25192266,21.01312845,9.1265,7.2677
0.87541179,-7.292813575,21.15112259,9.108,7.2251
-0.177231608,-6.233323856,21.09585092,9.0896,7.1885
0.017420311,-6.311776969,20.89701323,9.0582,7.1494
-0.408853874,-5.722102796,20.62412987,9.0166,7.1025
-0.221766896,-5.753971515,20.34995372,8.9714,7.0434
0.352155385,-6.224023899,20.13423182,8.9289,6.9677
-0.474281463,-5.367501868,20.01150686,8.8937,6.8725
-0.028852451,-5.866205635,19.98556409,8.8636,6.7596
