Power,100mspd,10mspd,Pre,Hum,Cloud,10mdir,Temp,Irra,Rain,100mdir
38.53,12.4538,10.0484,102525.3236,97.2651,1,19.8756,285.6395,30.1436,0.00034296,20.5553
37.68,12.5813,10.1608,102534.3238,97.5401,1,19.9613,285.5455,37.6095,0.00034296,20.715
37.65,12.6947,10.2679,102542.1816,97.4731,1,20.0876,285.4498,46.7506,0.00034314,20.8979
37.55,12.7902,10.3707,102548.9688,96.8416,1,20.2836,285.3729,58.5956,0.00034332,21.1019
37.97,12.8633,10.467,102554.5899,95.5344,1,20.5562,285.3295,73.8775,0.00034336,21.3171
37.97,12.9068,10.5422,102558.2818,93.885,1,20.829,285.3119,92.1484,0.00034331,21.5001
37.38,12.9127,10.5784,102559.114,92.3383,1,20.9609,285.3069,112.6651,0.00034326,21.5999
35.61,12.8732,10.5575,102556.1563,91.339,1,21.0024,285.3014,134.6844,0.00034332,21.5648
35.67,12.7854,10.47,102548.7471,91.2079,1,20.7521,285.2859,157.3443,0.00034353,21.3654
35.39,12.6677,10.34,102537.301,91.7696,1,20.3489,285.2663,179.308,0.00034374,21.0712
36.4,12.5429,10.1998,102522.5013,92.7247,1,19.9276,285.2522,199.1199,0.00034374,20.7802
35.96,12.4337,10.0811,102505.0313,93.7738,1,19.6346,285.2531,215.3244,0.00034332,20.5959
37.32,12.3577,10.0079,102485.6327,94.6787,1,19.5934,285.2758,226.903,0.00034244,20.6037
34.42,12.3138,9.9761,102465.2809,95.4464,1,19.7965,285.3154,234.5841,0.00034166,20.7979
37.91,12.2962,9.9752,102445.0093,96.1448,1,20.1983,285.3641,239.5331,0.00034171,21.1473
38.26,12.2995,9.9946,102425.8516,96.8422,1,20.7503,285.4142,242.9156,0.00034332,21.6187
34.3,12.3197,10.0262,102408.5679,97.5749,1,21.4089,285.4589,245.3215,0.00034724,22.1824
33.6,12.3601,10.0718,102392.8246,98.2529,1,22.1498,285.4943,245.0402,0.00035432,22.8235
