sub1,sub2,sub3,sub4,sub5,100mspd,10mspd
5.980117493,-0.96606592,-0.821627094,1.7848604,26.74271512,11.6317,9.3806
5.991815003,-0.110516433,-0.130622905,1.578954335,26.73037,11.8002,9.5463
6.003109074,0.189215423,-0.484543005,0.994205072,26.71801343,12.0134,9.7252
6.014150038,-0.791535813,1.200660494,0.03107022,26.70565506,12.2211,9.8802
6.026449703,-1.00321073,-1.289421179,-0.507231556,26.69341376,12.3722,9.9782
6.040095305,-0.613973605,0.385365139,-0.612784184,26.68129735,12.4219,9.9915
6.054482014,-1.081890138,0.434802848,-0.686651489,26.66925677,12.3484,9.9108
6.070028659,-2.110901542,-1.176364586,-0.540087775,26.65732524,12.1995,9.7784
6.085729574,-1.409611177,1.479131667,-0.450675804,26.64542574,12.0244,9.6351
6.101554331,1.009623615,0.15683457,-0.451568379,26.63355586,11.8583,9.5089
6.118381885,1.961729061,0.740762866,-0.252657885,26.62178407,11.7341,9.4253
6.136022293,1.768707966,-0.162589961,0.087763748,26.61009595,11.6708,9.3947
6.153589851,0.073604003,2.92468671,0.189700176,26.59841926,11.6705,9.4108
6.171130414,-3.871407584,-7.366285262,0.060710457,26.58675745,11.7097,9.4437
6.188959124,-3.759421303,7.948843749,-0.153518576,26.57513701,11.7589,9.4616
6.206877187,0.54683475,0.83578623,-0.543039854,26.56354169,11.8138,9.4712
6.225663749,1.347471604,-1.698116136,-0.757053428,26.55203421,11.8732,9.4863
6.245376207,-0.335609177,0.249177527,-0.769563919,26.54061936,11.9172,9.5042
6.265476552,-0.888589811,2.179200825,-0.825341232,26.52925367,11.9204,9.5127
6.286151732,-1.511987705,1.66829808,-0.840414339,26.51795223,11.8899,9.5109
6.306192077,-1.153376229,-0.106366755,-0.88307247,26.50662338,11.8463,9.5054
6.325431298,0.672412092,0.876875407,-0.979973088,26.49525429,11.8064,9.4984
6.344583132,0.704257337,1.540227569,-1.032967897,26.48389986,11.7783,9.4871
6.363295205,-0.876575861,2.743213788,-1.062466509,26.47253338,11.7676,9.4785
6.382152435,-0.899375524,-0.010313549,-0.833662104,26.46119874,11.7818,9.4843
6.401206779,0.172411453,1.144180188,-0.307698482,26.44990006,11.8298,9.5179
6.419852232,0.385528915,2.734822632,0.391204528,26.43859169,11.9177,9.5888
6.438204049,0.173075671,0.884036388,1.337401518,26.42728237,12.0363,9.6893
6.457341222,0.292490383,2.567234598,1.906878531,26.41605527,12.1733,9.807
6.477272813,0.499081042,0.884008622,2.04472624,26.40491128,12.3161,9.93
6.497550527,0.638871209,2.882558233,2.117204149,26.39381588,12.4538,10.0484
6.518441601,0.789018402,2.030817439,1.958932776,26.38278978,12.5813,10.1608
6.539153161,0.888176101,2.103884987,1.747013414,26.37177234,12.6947,10.2679
6.559630578,0.919552795,2.204406988,1.505650177,26.36075946,12.7902,10.3707
6.580487877,1.343660022,2.691380138,1.004673518,26.34979844,12.8633,10.467
6.601546809,2.184649276,2.568620879,0.276307287,26.33887575,12.9068,10.5422
6.619826175,1.994583751,2.707191946,-0.269431142,26.32782927,12.9127,10.5784
6.63508732,0.766709056,2.527019045,-0.635463107,26.31664768,12.8732,10.5575
6.648596434,0.548960909,3.171530677,-1.004485233,26.30539721,12.7854,10.47
6.659502605,1.14290792,2.573937579,-1.280380185,26.29403208,12.6677,10.34
6.669657891,1.360464825,3.382790371,-1.295569578,26.28265649,12.5429,10.1998
6.679112113,1.540785712,2.498238279,-1.029409235,26.27127313,12.4337,10.0811
6.68616264,1.159289083,3.691595429,-0.476835446,26.25978829,12.3577,10.0079
6.69114343,0.012744244,1.041977658,0.425913655,26.24822101,12.3138,9.9761
